filename,Country,State/Province,County,Location,Scientific name,Scientific author,Habitat and description,Collected by,Collector Number,Collection date,collection
000004272.large.png,United States,CO,Larimer,"On the alpine tundra, at 12,200 ft. along the Trailridge Road, in the Rocky Mountain National Park.",Sedum integrifolium,(Raf.) A. Nels.,"On the alpine tundra, at 12,200 ft. in the Rocky Mountain National Park.",Norlan C. Henderson,65-759,8/30/1965,Herbarium
000004370.large.png,United States,AZ,Pinal,"5 miles east of Superior, elev. 4200 ft.",Mimulus glabratus,H. B. K.,Common along muddy edges of narrow stream; succulent gangly plants.,R. W. and J. R. Matthews,425,5/27/1965,Herbarium
000004371.large.png,Mexico,Chiapas,Tenejapa,Slope in the paraje of Matsab. Elevation 8900 feet.,Mimulus glabratus,H. B. K.,Slope with Quercus and Drimys. Flowers yellow.,Alush Shilom Ton,1301,10/5/1966,Herbarium
000004372.large.png,United States,CA,Marin,"By Old Stage road NW of Bootjack Camp, mount Tamalpais Elev. ca. 1670 ft.",Lilium pardalinum,Kell.,"Three individuals noted in seepage area on relatively open serpentine slope. Perianth, maroon-spotted, was orange centrally, shading to red on apices of segments. Lvs. medium green. Stems a more olive-green. Herbaceous associates included Achillea borealis and Zigadenus fontanus. Limited shade was provided by Rhododendron occidentale.","Robert A. Norris, John L. Inase, Allen Nakagawa",4202,6/14/1981,Herbarium
000004374.large.png,United States,UT,Rich,"Small pond near shore, in shallow water, South end of Bear Lake.",Alopecurus aequalis,Sobol.,"Small pond near shore, in shallow water.",Richard W. Pohl,9480,6/8/1963,Herbarium
000004375.large.png,United States,NJ,Sussex,Vicinity of Lake Pochung.,Alopecurus aequalis,Sobol.,Marshy meadow.,R. K. Godfrey,62083,6/16/1962,Herbarium
000004376.large.png,Canada,Quebec,Vaudreuil-Soulanges,"Coteau-du-Lac, comte de Soulanges: iles du barrage.",Alopecurus aequalis,Sobol.,iles du barrage.,"F. F. Marie-Victorin, Rolland-Germain, Marcel Raymond",2181,7/8/1944,Herbarium
000004377.large.png,United States,PA,Mercer,"3 miles east of Jackson Center, off Route 965 Mercer County, Pennsylvania",Alopecurus aequalis,Sobol.,Wet border of swampy lake.,L. K. Henry and W. E. Buker,704,7/12/1947,Herbarium
000004378.large.png,Japan,Chiba,Inba,"Shimousa, In'ba-gun, Shiroimachi. Ne. Alt. 20m",Alopecurus aequalis var. amurensis,(Komar.) Ohwi,unknown,"H. Ohba, F. Kurihara, and M. Kurihara",106,9/23/1966,Herbarium
000004379.large.png,Japan,"Shizuoka Pref., Prov. Izu:",Tagata,"On sunny wet places along the rice paddy. Izu province, Kiriyama in Kamikano-mura.",Alopecurus aequalis var. amurensis,(Komar.) Ohwi,On sunny wet places along the rice paddy.,T. Nakaike,unknown,4/26/1970,Herbarium
000004380.large.png,Japan,Tokyo,Setagaya-ku,Soshigaya. On the margin of the field.,Alopecurus aequalis var. amurensis,(Komar.) Ohwi,On the margin of the field.,Y. Tateishi,705006,5/20/1970,Herbarium
000004381.large.png,Finland,Kainuu,Paltamo,"Ostrobottnia kajanesis: Paltamo, Melalahti, Horkanpuro",Alopecurus aequalis,Sobol.,Ostrobottnia kajanensis.,Lauri Heikkinen,unknown,7/28/1969,Herbarium
000005929.large.png,Costa Rica,Cartago,unknown,"In cultivation, Turrialba.",Castaneopsis,unknown,"Tree. In cultivation, Turrialba.",R. K. Godfrey,66275,2/4/1965,Herbarium
000005930.large.png,United States,GA,Chatham,"Plant introduction station, Savannah.",Lithocarpus fenestrata,(Roxb.) Rehd.,Small tree.,"R. E. Perdue, Jr. and K. Blum",4338,8/21/1961,Herbarium
000005931.large.png,United States,CA,San Francisco,"Strybing Arboretum (Bed 55), Golden Gate Park, San Francisco, S.F. Co., California.",Nothofagus antarctica,(G. Forst.) Orst.,"Small, single-trunked tree. Sterile. Lvs., somewhat folded or troughlike and in two ranks, were a dullish, slightly glossy green above; they were only a trifle paler beneath. Bud scales dull reddish tan. Smoothish bark with some horizontal, lighter-colored patches, thus presenting a mottled and/or cross-streaked effect. Near base of trunk were relatively few fissures which were rather remote from each other. Branches, which began at ca. 4 ft., were hardly numerous; hence the tree was not dense-foliaged. Ascending to more or less horizontally spreading, the branches showed little or no tendency to bend down peripherally. Diam. at 2 ft. was ca. 6-7 in. About 25 ft. tall and 20 ft. across. (Fagaceae: native to Chile.)",Robert A. Norris,4218,7/12/1981,Herbarium
000005932.large.png,United States,CA,San Francisco,"Two large trees in Strybing Arboretum (Bed 55), Golden Gate Park, San Francisco.",Nothofagus obliqua,(Mirb.) Orst.,"Two large trees, sterile. Lvs. (all coll. from one tree) variable in size, two-ranked, a dark bluish green above, with some sheen; beneath, a flat, paler blue-green; midrib a very pale yellowish green. Bark very rough on trunks, with dark, brownish gray, broad irregular plates but no clear-cut fissuring. Each trunk had knotty protuberances at and near its more or less buttressed base. Main branching began at ca. 25 ft. Outer limbs decidedly pendent, as were some small ones growing out of trunks at hgts. of ca. 10 to 20 ft. DBH's ca. 2 1/2 and 3 ft. Both trees est. to be 60 ft. tall. (Fagaceae: native to Chile and Argentina.)",Robert A. Norris,4217,7/12/1981,Herbarium
000005933.large.png,United States,CA,San Francisco,"Strybing Arboretum (Bed 45), Golden Gate Park, San Francisco.",Nothofagus solandri,(Hook. f.) Orst.,"Small evergreen tree in Strybing Arboretum (Bed 45). Sterile (locally cult. spp. of this genus have not been seen in fl. or fr.). Lvs. (ca. 0.2 mm. thick) glossy, dark green above, much lighter beneath. Those of the upermost branches were relatively small and quite widely spaced. Bark smoothish, mottled with pale gray and dull olive-green hues. The polelike trunk was shallowly and inconspicuously grooved lengthwise and thus was slightly fluted. Though some small branches radiated from the trunk's base, larger ones, which were relatively few, began at ca. 7 ft. Those forming the crown were strongly ascending, others only weakly so; most of the lowermost branches were subhorizontal to descending, some with upcurved tips. DBH ca. 42 in. Hgt. ca. 30 ft.; max. wdth. ca. 15 ft. (Fagaceae: New Zeal.)",Robert A. Norris,4609,10/10/1983,Herbarium
000005934.large.png,United States,GA,Chatham,"Plant Introduction Station, Savannah.",Pasania edulis,Makino,Plant Introduction Station. Tree.,"R. E. Perdue, Jr. and K. Blum",4345,8/21/1961,Herbarium
